http://dbpedia.org/property/ethnicity,count,adjective
Unidentified tribe of Tasmanians,2,
http://dbpedia.org/resource/Obolo_people,2,
600,2,
http://dbpedia.org/resource/Pathans_of_Punjab,2,
http://dbpedia.org/resource/Gie_Trieng_people,2,
http://dbpedia.org/resource/Tuvans,2,
850,2,
http://dbpedia.org/resource/Osing_people,2,
http://dbpedia.org/resource/Chakhesang_Naga,2,
http://dbpedia.org/resource/Kaxinawá_people,2,
http://dbpedia.org/resource/Emiratis,2,
http://dbpedia.org/resource/Crimean_Tatars,2,
http://dbpedia.org/resource/Wa_people,2,
Cape Coloureds,2,
http://dbpedia.org/resource/Indo-Trinidadian_and_Tobagonian,2,
http://dbpedia.org/resource/Hungarian_people,2,
http://dbpedia.org/resource/Ibibio_people,2,
http://dbpedia.org/resource/Punu_people,2,
http://dbpedia.org/resource/Lithuanian_people,2,
http://dbpedia.org/resource/Yup'ik,2,
http://dbpedia.org/resource/Shubi_people,2,
http://dbpedia.org/resource/Vietnamese_people,2,
http://dbpedia.org/resource/Asturians,2,
http://dbpedia.org/resource/Murut_people,2,
http://dbpedia.org/resource/Bengali_Hindu,2,
http://dbpedia.org/resource/Sangtam_Naga,2,
http://dbpedia.org/resource/Tiwa_Puebloans,2,
Sayyid,2,
New Zealand European,2,
http://dbpedia.org/resource/Terena_people,2,
http://dbpedia.org/resource/Semnani_people,2,
1140,2,
1.9,2,
270,2,
http://dbpedia.org/resource/Fipa_people,2,
South Asian,2,
Croatian,2,
http://dbpedia.org/resource/Mesakin_people,2,
http://dbpedia.org/resource/Lahu_people,2,
http://dbpedia.org/resource/Romani_people,2,
http://dbpedia.org/resource/Gavião_(Gê),2,
46,2,
Han Chinese,2,
http://dbpedia.org/resource/Kanuri_people,2,
http://dbpedia.org/resource/Palaung_people,2,
http://dbpedia.org/resource/Aromanians,2,
http://dbpedia.org/resource/Mara_people,2,
http://dbpedia.org/resource/Asur_people,2,
http://dbpedia.org/resource/Baining_people,2,
http://dbpedia.org/resource/Katang_people,2,
http://dbpedia.org/resource/Persian_People,2,
http://dbpedia.org/resource/Flemings,2,
http://dbpedia.org/resource/Mazanderani_people,2,
http://dbpedia.org/resource/Telugu_people,2,
Bruny tribe of Tasmanians,2,
http://dbpedia.org/resource/Cumans,2,
http://dbpedia.org/resource/Balkars,2,
http://dbpedia.org/resource/Digo_people,2,
http://dbpedia.org/resource/Austrians,2,
http://dbpedia.org/resource/Chatino_people,2,
http://dbpedia.org/resource/Baloch_people,2,
http://dbpedia.org/resource/Siona_people,2,
Various,2,
http://dbpedia.org/resource/Fuzhou_people,2,
http://dbpedia.org/resource/Swiss,2,
http://dbpedia.org/resource/Buseni_tribe,2,
http://dbpedia.org/resource/White_American,2,
http://dbpedia.org/resource/Waray_people,2,
160,2,
http://dbpedia.org/resource/Hmar_people,2,
http://dbpedia.org/resource/Pamiris,2,
http://dbpedia.org/resource/Luhya_people,2,
http://dbpedia.org/resource/Kanum_people,2,
http://dbpedia.org/resource/Negrense,2,
60,2,
http://dbpedia.org/resource/Kuki_people,2,
http://dbpedia.org/resource/Inuit,2,
http://dbpedia.org/resource/Penan_people,2,
http://dbpedia.org/resource/Benteng_Chinese,2,
http://dbpedia.org/resource/Igbo_people,2,
http://dbpedia.org/resource/Teochew_people,2,
http://dbpedia.org/resource/Byzantine_Greeks,2,
http://dbpedia.org/resource/Magoma_people,2,
http://dbpedia.org/resource/Bamar_people,2,
http://dbpedia.org/resource/Buryats,2,
1120,2,
350,2,
http://dbpedia.org/resource/Valencians,2,
"Malay, Chinese, Etc",2,
http://dbpedia.org/resource/Guaraní_people,2,
97.3,2,
http://dbpedia.org/resource/Muisca_people,2,
http://dbpedia.org/resource/Poumai_Naga_people,2,
http://dbpedia.org/resource/Madurese_people,2,
Polish&ndash;Lithuanian-Ruthenian,2,
http://dbpedia.org/resource/Marathi_people,2,
http://dbpedia.org/resource/Gadubanud,2,
Bininj,2,
http://dbpedia.org/resource/Bono_people,2,
240,2,
http://dbpedia.org/resource/Yanggal,1,
http://dbpedia.org/resource/Tikhir_Naga,1,
http://dbpedia.org/resource/Nauo_people,1,
http://dbpedia.org/resource/Barman_Kacharis,1,
http://dbpedia.org/resource/Kikuyu_people,1,
"Adan, Agotime",1,
http://dbpedia.org/resource/Lungu_people,1,
"Lamalama, possibly Barungguan",1,
http://dbpedia.org/resource/Wirangu_people,1,
http://dbpedia.org/resource/Munda_peoples,1,
http://dbpedia.org/resource/Confederated_Tribes_of_Siletz_Indians,1,
http://dbpedia.org/resource/Balinese_people,1,
http://dbpedia.org/resource/Afar_people,1,
latino,1,
http://dbpedia.org/resource/Wik_Me'anh,1,
"Kabi Kabi , Butchulla",1,
http://dbpedia.org/resource/Boya_people,1,
http://dbpedia.org/resource/Qashqai_people,1,
http://dbpedia.org/resource/Chamalal_people,1,
http://dbpedia.org/resource/Bété_people,1,
http://dbpedia.org/resource/Bulgarian,1,
http://dbpedia.org/resource/Picts,1,
http://dbpedia.org/resource/Jaitmatang,1,
http://dbpedia.org/resource/Damia_people,1,
http://dbpedia.org/resource/Aja_people_(Sudan),1,
http://dbpedia.org/resource/Bukitan_people,1,
http://dbpedia.org/resource/Ugrians,1,
http://dbpedia.org/resource/Akiek_people,1,
http://dbpedia.org/resource/Wik_Ompom,1,
550,1,
93.7,1,
http://dbpedia.org/resource/Soqotri_people,1,
http://dbpedia.org/resource/Snohomish_tribe,1,
http://dbpedia.org/resource/Nkoroo_people,1,
http://dbpedia.org/resource/Kwavi_people,1,
Mostly Russian,1,
http://dbpedia.org/resource/Boruca_people,1,
http://dbpedia.org/resource/Uyghurs,1,
http://dbpedia.org/resource/Bruneian_Malay_people,1,
http://dbpedia.org/resource/Kodaku_people,1,
http://dbpedia.org/resource/Okebu,1,
http://dbpedia.org/resource/Afitti_people,1,
8022,1,
http://dbpedia.org/resource/Temein_people,1,
http://dbpedia.org/resource/Hlubi_people,1,
http://dbpedia.org/resource/Swahili_people,1,
http://dbpedia.org/resource/Ibani_tribe,1,
Igbo people,1,
Black,1,
http://dbpedia.org/resource/Mbayá,1,
http://dbpedia.org/resource/Khamti_people,1,
http://dbpedia.org/resource/Rejang_people,1,
http://dbpedia.org/resource/Welayta_people,1,
http://dbpedia.org/resource/Mambwe_people,1,
172000,1,
http://dbpedia.org/resource/Nambikwara_people,1,
http://dbpedia.org/resource/Bunda_people,1,
http://dbpedia.org/resource/Okpella,1,
http://dbpedia.org/resource/Irish_Canadian,1,
Mandjildjara,1,
Gurbetler/Kurbet/Gurbeti,1,
http://dbpedia.org/resource/Kilba_people,1,
21400,1,
http://dbpedia.org/resource/Urak_Lawoi’_people,1,
11800,1,
http://dbpedia.org/resource/ǃKung_people,1,
http://dbpedia.org/resource/Rangi_people,1,
http://dbpedia.org/resource/Maithil,1,
one thousand Apiacá,1,
Arab of Hashemite descent,1,
http://dbpedia.org/resource/Tupari_people,1,
http://dbpedia.org/resource/Goshute,1,
http://dbpedia.org/resource/East_of_England,1,
http://dbpedia.org/resource/Karata_people,1,
http://dbpedia.org/resource/Erenga_people,1,
http://dbpedia.org/resource/Wai-Wai_people,1,
http://dbpedia.org/resource/Aguls,1,
http://dbpedia.org/resource/Korean_diaspora,1,
http://dbpedia.org/resource/Abazins,1,
http://dbpedia.org/resource/Bora_people,1,
Agbo,1,
http://dbpedia.org/resource/Jah_Hut_people,1,
http://dbpedia.org/resource/Makua_people,1,
91.6,1,
http://dbpedia.org/resource/Konjo_people,1,
Calabrian,1,
http://dbpedia.org/resource/Sama_people,1,
http://dbpedia.org/resource/Goans,1,
340,1,
http://dbpedia.org/resource/Miwok_people,1,
Èrs people,1,
http://dbpedia.org/resource/Wik_peoples,1,
http://dbpedia.org/resource/Hemshin_peoples,1,
http://dbpedia.org/resource/Mysians,1,
http://dbpedia.org/resource/Dhimal,1,
Mandyali People,1,
718000,1,
http://dbpedia.org/resource/Lô_Lô_people,1,
Nasu,1,
http://dbpedia.org/resource/Griqua_people,1,
http://dbpedia.org/resource/Kru_people,1,
4.7,1,
http://dbpedia.org/resource/Kalapalo_people,1,
"perhaps about 100,000 Chiquitano people",1,
http://dbpedia.org/resource/Saraiki_people,1,
http://dbpedia.org/resource/Yidgha_Munji_people,1,
http://dbpedia.org/resource/Tepehuán_people,1,
http://dbpedia.org/resource/Koireng_people,1,
Nagarchi,1,
http://dbpedia.org/resource/Somali_Canadians,1,
http://dbpedia.org/resource/Venezuelans,1,
Various First Nations and Native Americans of the Columbia Plateau region,1,
http://dbpedia.org/resource/Croat,1,
http://dbpedia.org/resource/Soliga_people,1,
http://dbpedia.org/resource/Yunggor,1,
http://dbpedia.org/resource/Kalinago,1,
Ngiyambaa,1,
5800,1,
"Kayapó, Xikrin, formerly also Irã'ãmrãnhre",1,
http://dbpedia.org/resource/Tao_people,1,
http://dbpedia.org/resource/Kʼicheʼ_people,1,
http://dbpedia.org/resource/Burgher_people,1,
Norsemen and their descendants,1,
http://dbpedia.org/resource/Fennoswedes,1,
Sinhala,1,
http://dbpedia.org/resource/Yetfa_people,1,
http://dbpedia.org/resource/Tonga_people_of_Malawi,1,
http://dbpedia.org/resource/Kimr_people,1,
http://dbpedia.org/resource/Jews,1,
http://dbpedia.org/resource/Adai_people,1,
Lowland Scots people,1,
http://dbpedia.org/resource/Mariamo,1,
http://dbpedia.org/resource/Afshar_people,1,
http://dbpedia.org/resource/Aivilingmiut,1,
http://dbpedia.org/resource/Liha_people,1,
"Malay, Chinese, Javaness, Batak, Etc",1,
http://dbpedia.org/resource/Tupinambá_people,1,
Texans,1,
http://dbpedia.org/resource/Yugh_people,1,
http://dbpedia.org/resource/Bimanese_people,1,
http://dbpedia.org/resource/Totonac_people,1,
http://dbpedia.org/resource/Dailamite,1,
Nasirabadi Jaisi Naqvi Sayyid of Darul Ijtihad Jais & Nasirabad,1,
http://dbpedia.org/resource/Orang_Kuala,1,
